,company,FCFG
143,FONDIA.HE,0.10726188174108997
144,VALOE.HE,
145,CTH1V.HE,0.7952978283794594
146,NXTMH.HE,
147,AVIDLY.HE,
148,ACG1V.HE,0.4532715556551721
149,HRTIS.HE,
150,AHOLA.HE,0.3017080731871493
151,QPR1V.HE,-0.4076356028130955
152,BONEH.HE,0.3185587634305307
153,WUF1V.HE,0.48843728914041007
154,REKA.HE,0.17544913055328792
155,FELLOW.HE,-0.709984401635902
156,TULAV.HE,-0.5705425328026521
157,LOUD.HE,-0.5179749386982505
158,KELAS.HE,0.6861663668653255
159,TRH1V.HE,-0.38184975648160435
160,MARAS.HE,
161,SAVOH.HE,
162,NORDID.HE,-0.7512354564380588
163,PIIPPO.HE,
164,PRIVA.HE,
165,ENEDO.HE,
166,NXTMHN0121.HE,
