,company,CAGR
139,INVEST.HE,1.2934392044008591
140,DIGIGR.HE,-0.44889758197957674
141,BIOBV.HE,0.3844762029296278
142,HEEROS.HE,-0.1763871024842003
143,FONDIA.HE,-0.06360165245922178
144,VALOE.HE,
145,CTH1V.HE,-0.10835701249075935
146,NXTMH.HE,-0.22548715464914226
147,AVIDLY.HE,
148,ACG1V.HE,-0.23353057277410272
149,HRTIS.HE,-1.0
150,AHOLA.HE,1.2529960782372132
151,QPR1V.HE,-0.331442804454544
152,BONEH.HE,-1.0
153,WUF1V.HE,0.13616645395498606
154,REKA.HE,1.3767837563491576
155,FELLOW.HE,-0.5342083112516751
156,TULAV.HE,2.286707551794509
157,LOUD.HE,-0.7732200818108408
158,KELAS.HE,0.31729159936615203
159,TRH1V.HE,0.31945544541267745
