,DE Ratio,Current Ratio,ROI,Revenue CAGR,EPS CAGR,BVPS,FCF CAGR,Current EPS,Current PE Ratio,Points
EQV1V.HE,0.28707079095858384,3.2509783275709307,23.770581825467936,-0.3159098291782252,-0.004115373322874483,2.0370286972543665,-0.7165499670192252,0.5999999937238495,31.866667,589.0
MEKKO.HE,0.9071083192520576,2.412704677883398,22.81326088971395,-0.5675394424103937,,130.23761184801788,-0.21481186596792312,1.697000022353134,30.465527,584.0
FSKRS.HE,0.6054857264448805,2.285845905322396,,0.11807491578676665,-0.07832638685988791,,0.8077052912754017,0.8290000281249703,19.662243,581.0
TITAN.HE,0.1187894138029682,7.421112582961851,47.98581681325284,-0.5233299583652322,-0.07003380747929433,1.465552468655318,-0.3055824264983046,0.7400000424203846,21.216215,574.0
ALTIA.HE,1.7687365099479833,1.3920090313054496,,0.5669060489302076,0.10865478487238668,4.627766820074513,0.4463763639822378,0.4930000071520987,22.231237,562.0
VAIAS.HE,0.7106703488975052,1.893527720002984,11.971581713802035,-0.13012366772202566,0.06714245244753525,,-0.08798213117027698,0.910000076850616,36.043953,561.0
ACG1V.HE,0.5964297837871952,2.1604092058009945,8.865789426950668,-0.2335305727741027,0.5838246835675629,3.3183068470020336,0.4532715556551721,,,555.0
KELAS.HE,1.5629671912909733,2.163153141673558,,0.31729159936615203,0.11884722488234513,,0.6861663668653255,0.09000000808988838,49.44444,550.0
LAT1V.HE,1.829649040841013,1.0702657177906256,,2.524902951757368,0.2622845525017472,,0.9541758831834132,0.5,28.88,543.0
OLVAS.HE,0.5497073786442316,1.2136296797379502,11.502190034696095,-0.4074874567095696,0.0053643162001904,4.755778509999903,-0.2738414983315421,1.9589998984370955,24.91067,537.0
UNIAV.HE,0.5819001620918436,1.6001216871843016,7.917581275188072,-0.2672964895023284,0.10275869501563628,1.7241863218624138,0.06282190325645609,0.5899999608185353,21.949154,535.0
PARTNE1.HE,0.2663387414130332,25.80211332674516,12.073532523096905,,,71966.67460731891,,0.027000002288135788,87.4074,532.0
SSABBH.HE,0.606295073019178,1.6934876672798234,,1.3681600309997943,,,1.4106315834992371,0.3480000013407175,11.933908,527.0
METSA.HE,0.7485764315529886,2.0549139909314045,7.937835961426001,0.0704089337431073,-0.0564147548918893,,0.32625669930525003,0.4779999763987512,20.083682999999997,524.0
RAUTE.HE,1.0612795460565796,1.6327320115034112,10.065859777665052,1.2127002994628824,,4.4004543420043865,0.8482116327811444,,,523.0
SIILI.HE,1.418583005573633,1.3994861400665797,9.39428261338765,0.17986979563702166,0.5016599232579668,,0.09238140695822672,0.6289999696417707,28.394278000000003,520.0
WRT1V.HE,1.603299850502929,1.446967822084968,,0.6478578510002704,0.19234775691320286,,0.35490844997579,0.22599999750055302,40.00885,520.0
DOV1V.HE,0.7999328310988013,1.2674789398137334,,1.1773843356380858,-0.025109049035311082,1.188619108542175,0.3549828292183952,0.016000001283208123,24.937498,516.0
RELAIS.HE,1.4124218671775275,4.0962729192609535,,-0.3275476295036206,-0.08438207083971727,21.118894207500016,-0.28766297236344085,0.4,44.375,516.0
METSB.HE,0.7485764315529886,2.0549139909314045,7.937835961426001,0.006836934265899375,0.012043919517670032,,0.15343685021545128,0.4779999763987512,20.083682999999997,515.0
CAPMAN.HE,0.7483036415552974,3.725512784759261,6.240064475683512,-0.5071051300209308,0.4951219657892967,1.5252832529852358,-0.684167395021133,0.033000000492537325,81.21212,514.0
FORTUM.HE,1.3905126952507376,1.7858596711583707,,1.2057993197616037,-0.10300986159777924,,0.30368923957387617,2.0499999678395344,10.882927,513.0
NELES.HE,1.4411026908652782,1.9262197575298343,113.01694193470007,-0.058191213912912924,-0.3059395508244496,,0.7940084502298077,14.635999075326733,0.75806236,511.0
CGCBV.HE,1.761596278309508,1.3767274856404077,,0.3141873323393207,1.3618322928706057,,0.1728615662968429,0.1260000008278581,362.38095,498.0
TAALA.HE,1.0676155218849843,4.126610892613069,,2.586379294380015,,,-0.393959886083142,0.4499999817444226,21.911112,494.0
AALLON.HE,0.3602275119996341,3.3205764193740066,,-0.4667253891743683,,2.3723860929967158,-0.4015032821018136,0.2649999691594864,43.773590000000006,489.0
SAA1V.HE,2.0203726960721298,,,2.0991465852029685,,2.585059978189749,1.0646673528052588,1.5060000292718412,9.6679945,487.0
