date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest.1,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome.1,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,company
2019-12-31,3376000.0,,2132000,,225000,27280000.0,36911000,8075000,8075000,-1820000.0,-4731000.0,,,,1907000,411412000,403337000,374501000,-5943000,,225000,225000,19701000.0,24681000.0,177648000.0,132452000.0,,,1261000.0,310100000.0,11860000.0,1000.0,13715000.0,15197000.0,15496000.0,82196000.0,15071000.0,37741000.0,70273000.0,2091000.0,,82240000.0,126962000.0,132093000.0,777000.0,97255000.0,,52721000.0,81714000.0,39257000.0,44495000.0,,0,-10447000,-9572000.0,-9572000.0,1631000.0,,225000,9984000,109000.0,29894000,25539000.0,,-2876000.0,,,-1000.0,2499000.0,-10520000.0,,SUY1V.HE
2018-12-31,3515000.0,,-963000,,-1720000,24660000.0,31283000,4642000,4642000,-1534000.0,-4022000.0,,,,757000,431109000,426467000,399826000,-5605000,,-1720000,-1720000,16627000.0,24681000.0,190207000.0,130513000.0,,,1479000.0,320720000.0,11860000.0,-1000.0,13237000.0,13236000.0,15496000.0,80735000.0,16502000.0,27757000.0,96272000.0,2540000.0,15687000.0,80779000.0,124773000.0,146545000.0,777000.0,98390000.0,,63955000.0,80615000.0,51583000.0,66676000.0,,0,-14837000,-10118000.0,-16440000.0,5621000.0,,-1720000,516000,-355000.0,32148000,21019000.0,,-2876000.0,,,-1000.0,7228000.0,-15039000.0,,SUY1V.HE
2017-12-31,4739000.0,,12430000,,14478000,24138000.0,42157000,14788000,14788000,-1508000.0,-1648000.0,,,,-2048000,425996000,411208000,383839000,-2358000,,14478000,13997000,9812000.0,24681000.0,185246000.0,136794000.0,,,1789000.0,322040000.0,11860000.0,1000.0,15761000.0,15590000.0,15496000.0,84492000.0,21038000.0,27240000.0,74302000.0,5142000.0,15000000.0,84536000.0,133225000.0,141692000.0,777000.0,111486000.0,,67509000.0,95192000.0,44241000.0,52145000.0,,0,-33548000,23467000.0,13599000.0,-8028000.0,,14478000,-2282000,-4485000.0,22152000,19349000.0,-1000.0,-6227000.0,,,-3641000.0,-3647000.0,-33839000.0,,SUY1V.HE
2020-12-31,,,8615000,23000.0,6895000,1187000.0,21514000,9570000,9570000,7178000.0,-128000.0,,,,1712000,78691000,69121000,57177000,-955000,,6903000,6895000,10506000.0,,42281000.0,36059000.0,23000.0,,8994000.0,78363000.0,80000.0,2441000.0,15476000.0,2737000.0,23311000.0,20503000.0,785000.0,21394000.0,27549000.0,14000.0,2000000.0,20503000.0,7296000.0,36465000.0,,2242000.0,544000.0,12086000.0,7500000.0,,2859000.0,139000.0,0,-7095000,1446000.0,-1823000.0,-1203000.0,,6895000,36000,,8955000,3579000.0,,-2801000.0,,,,-316000.0,-75000.0,-468000.0,GOFORE.HE
2019-12-31,,,6526000,23000.0,5096000,1305000.0,18479000,7035000,7035000,7536000.0,-123000.0,,,,1430000,64205000,57170000,45726000,-509000,,5096000,5096000,3812000.0,,25092000.0,32432000.0,,,1895000.0,57524000.0,80000.0,1343000.0,12008000.0,935000.0,16180000.0,20344000.0,34000.0,21358000.0,16380000.0,35000.0,1887000.0,20344000.0,5894000.0,31553000.0,51000.0,12440000.0,631000.0,8221000.0,4472000.0,,4646000.0,139000.0,0,-4301000,468000.0,-2028000.0,4155000.0,,5096000,5934000,,12263000,2603000.0,,-2496000.0,,,-1000.0,409000.0,-192000.0,-468000.0,GOFORE.HE
2018-12-31,,,6084028,23000.0,4731906,1978665.0,15113362,6094990,6094990,6170595.0,-59018.0,,,,1352122,50581430,44486440,35468068,-10962,,4731906,4731906,7700.0,,12518159.0,22005918.0,,99156.0,2405927.0,34524081.0,80000.0,,9055408.0,515553.0,8626327.0,12870510.0,99156.0,13417426.0,9388321.0,,1068571.0,12870510.0,451549.0,25288849.0,50500.0,13371891.0,2006637.0,9864786.0,2614285.0,,2112461.0,500000.0,0,-2024553,-1105365.0,-3047685.0,1351599.0,,4731906,2767363,,7839599,817028.0,,-1942320.0,,1060170.0,-1000.0,-173181.0,-205409.0,-468000.0,GOFORE.HE
2017-12-31,,,4186698,23000.0,3318691,1396836.0,10931230,5359022,5359022,3717488.0,-50211.0,,,,868007,33950446,28591424,23019216,-1172324,,3318691,3318691,,,11476720.0,17810328.0,,131333.0,2036641.0,29287050.0,80000.0,,6274700.0,,5362409.0,11455628.0,131333.0,12656699.0,7793863.0,,1105365.0,11455628.0,389130.0,22853678.0,550500.0,12447919.0,,10196979.0,3682857.0,,1589210.0,-50000.0,0,-5153230,4479907.0,13584344.0,1318486.0,10156035.0,3318691,9051650,,620535,444144.0,,-1051598.0,,-4719840.0,-1000.0,245322.0,-418516.0,-468000.0,GOFORE.HE
2020-12-31,,,10411011,318523.0,6937228,16663427.0,45014503,11087772,11087772,9223984.0,-2143264.0,,,,3403775,128924084,117836312,83909581,-676761,,7007236,6937228,472310.0,,82366260.0,71945543.0,318523.0,,3671429.0,154630325.0,80000.0,283858.0,19384613.0,2973194.0,58215498.0,52480930.0,,34668934.0,21249836.0,,5000000.0,52480930.0,663624.0,95197824.0,81069.0,13257735.0,,13481618.0,58143230.0,44272881.0,8606334.0,-15818.0,0,-8749963,-1206842.0,-2888842.0,-1155455.0,,6937228,5068445,611264.0,16095982,8039319.0,,-1682000.0,2012617.0,280957.0,,-18682.0,-198858.0,,RELAIS.HE
2019-12-31,,,2490717,318523.0,383979,12401980.0,33126285,7818265,7818265,7426494.0,-1750487.0,,,,1931401,98945531,91127266,65819246,-5327548,,559316,383979,546537.0,,79358947.0,63684981.0,,,3243605.0,143043926.0,80000.0,284595.0,14129386.0,2320943.0,53730527.0,49475595.0,,29600488.0,17528346.0,,4762783.0,49475595.0,734514.0,87970322.0,62026.0,9407917.0,,12149707.0,59509658.0,43093811.0,6559699.0,-7036.0,0,-64440545,42355113.0,90311674.0,-3799701.0,47956561.0,383979,27291927,-377701.0,1798496,5479545.0,,-1682000.0,-3144495.0,3999602.0,,-1120433.0,-391757.0,,RELAIS.HE
2018-12-31,,,4844410,640651.0,3092263,9570724.0,24344935,5715273,5715273,6051159.0,-976423.0,,,,1522946,72451836,66736563,48106901,-870863,,3321464,3092263,332307.0,,30516472.0,16528387.0,640651.0,,2522136.0,47685511.0,3000.0,284582.0,13745408.0,98649.0,4946609.0,2779979.0,,2308561.0,14976727.0,,6105188.0,2779979.0,618744.0,41787169.0,682.0,11249471.0,,8514888.0,15441096.0,29108785.0,3966911.0,-7036.0,0,-941109,-1653836.0,-1653836.0,1293051.0,47956561.0,3092263,2267589,-42534.0,3383164,3007777.0,,-1682000.0,-2428591.0,-1301384.0,,-279951.0,-207646.0,,RELAIS.HE
